delivery_risk,delivery_status,late_delivery_risk,customer_segment,department_name,order_item_profit_ratio,order_item_quantity,order_status,shipping_mode,order_year,order_month,order_day,order_hour,order_minute,order_weekend,ship_year,ship_month,ship_day,ship_hour,ship_minute,ship_weekend
3,Late delivery,1,Consumer,Fan Shop,0.25999999,1,COMPLETE,Second Class,2017,3,19,2,22,1,2017,3,24,2,22,0
0,Shipping on time,0,Consumer,Fan Shop,0.340000004,1,COMPLETE,Standard Class,2016,1,16,19,26,1,2016,1,20,19,26,0
1,Late delivery,1,Home Office,Apparel,0.059999999,5,CLOSED,Standard Class,2015,4,11,21,55,1,2015,4,16,21,55,0
1,Late delivery,1,Consumer,Fan Shop,0.360000014,1,PENDING_PAYMENT,Same Day,2017,9,1,22,6,0,2017,9,2,10,6,1
1,Late delivery,1,Consumer,Apparel,0.460000008,1,PROCESSING,Second Class,2017,10,2,5,4,0,2017,10,5,5,4,0
1,Late delivery,1,Consumer,Golf,0.289999992,3,COMPLETE,First Class,2015,6,29,12,11,0,2015,7,1,12,11,0
1,Late delivery,1,Corporate,Golf,-0.569999993,2,CLOSED,Same Day,2015,12,13,12,49,1,2015,12,14,0,49,0
1,Late delivery,1,Home Office,Apparel,0.460000008,1,PROCESSING,Same Day,2015,2,25,12,0,0,2015,2,26,0,0,0
4,Late delivery,1,Corporate,Outdoors,0.409999996,3,PENDING,Second Class,2016,7,11,7,48,0,2016,7,17,7,48,1
-2,Advance shipping,0,Consumer,Fan Shop,0.25,1,COMPLETE,Standard Class,2017,7,17,9,54,0,2017,7,19,9,54,0
3,Late delivery,1,Consumer,Fan Shop,0.479999989,1,PROCESSING,Second Class,2016,4,16,7,55,1,2016,4,21,7,55,0
1,Late delivery,1,Home Office,Golf,0.349999994,3,COMPLETE,First Class,2017,8,15,12,30,0,2017,8,17,12,30,0
1,Late delivery,1,Consumer,Fan Shop,0.360000014,1,COMPLETE,Second Class,2017,7,10,4,50,0,2017,7,13,4,50,0
1,Late delivery,1,Consumer,Apparel,0.479999989,3,PENDING_PAYMENT,Standard Class,2016,2,2,18,11,0,2016,2,7,18,11,1
-2,Advance shipping,0,Corporate,Outdoors,0.129999995,3,COMPLETE,Standard Class,2016,12,20,5,28,0,2016,12,22,5,28,0
2,Late delivery,1,Consumer,Fan Shop,0.25999999,4,PENDING_PAYMENT,Standard Class,2015,3,4,5,52,0,2015,3,10,5,52,0
2,Late delivery,1,Consumer,Golf,0.330000013,4,PENDING,Second Class,2017,8,6,3,34,1,2017,8,10,3,34,0
0,Shipping canceled,0,Home Office,Fan Shop,0.469999999,1,CANCELED,Same Day,2016,9,3,10,10,1,2016,9,3,22,10,1
-1,Advance shipping,0,Home Office,Footwear,0.340000004,4,COMPLETE,Standard Class,2015,8,17,12,59,0,2015,8,20,12,59,0
2,Late delivery,1,Home Office,Apparel,0.25999999,1,PENDING_PAYMENT,Second Class,2017,7,7,1,52,0,2017,7,11,1,52,0
4,Late delivery,1,Corporate,Fan Shop,0.170000002,1,PROCESSING,Second Class,2015,3,23,19,19,0,2015,3,29,19,19,1
0,Shipping canceled,0,Consumer,Fan Shop,0.379999995,1,CANCELED,Second Class,2016,2,19,8,31,0,2016,2,21,8,31,1
-1,Advance shipping,0,Consumer,Technology,-0.730000019,1,PENDING,Standard Class,2017,10,30,3,59,0,2017,11,2,3,59,0
1,Late delivery,1,Consumer,Apparel,0.360000014,1,COMPLETE,Standard Class,2016,2,5,12,45,0,2016,2,10,12,45,0
0,Shipping on time,0,Corporate,Technology,0.5,1,PROCESSING,Same Day,2017,10,29,4,30,1,2017,10,29,16,30,1
2,Late delivery,1,Consumer,Fan Shop,-0.349999994,1,COMPLETE,Standard Class,2016,2,27,10,37,1,2016,3,4,10,37,0
1,Late delivery,1,Corporate,Golf,0.409999996,3,COMPLETE,First Class,2015,2,3,1,52,0,2015,2,5,1,52,0
2,Late delivery,1,Home Office,Fan Shop,0.49000001,1,COMPLETE,Standard Class,2018,1,15,10,21,0,2018,1,21,10,21,1
0,Shipping on time,0,Consumer,Fan Shop,-1.649999976,1,PENDING_PAYMENT,Standard Class,2016,3,28,13,22,0,2016,4,1,13,22,0
1,Late delivery,1,Corporate,Outdoors,0.479999989,2,PENDING_PAYMENT,Standard Class,2016,7,26,18,49,0,2016,7,31,18,49,1
1,Late delivery,1,Consumer,Fan Shop,-0.270000011,2,COMPLETE,First Class,2015,1,21,17,50,0,2015,1,23,17,50,0
-2,Advance shipping,0,Consumer,Fan Shop,0.059999999,1,COMPLETE,Standard Class,2015,1,23,11,31,0,2015,1,25,11,31,1
3,Late delivery,1,Home Office,Apparel,-0.730000019,1,COMPLETE,Second Class,2017,6,26,5,12,0,2017,7,1,5,12,1
-2,Advance shipping,0,Home Office,Footwear,-0.280000001,3,PENDING_PAYMENT,Standard Class,2015,12,6,18,16,1,2015,12,8,18,16,0
0,Shipping on time,0,Corporate,Apparel,0.330000013,1,PENDING,Second Class,2015,11,30,4,36,0,2015,12,2,4,36,0
0,Shipping on time,0,Consumer,Fan Shop,-0.100000001,1,PENDING_PAYMENT,Second Class,2016,3,11,3,46,0,2016,3,13,3,46,1
1,Late delivery,1,Consumer,Fan Shop,0.300000012,1,PENDING_PAYMENT,First Class,2015,10,11,15,53,1,2015,10,13,15,53,0
2,Late delivery,1,Consumer,Fan Shop,0.100000001,1,COMPLETE,Second Class,2015,9,6,2,48,1,2015,9,10,2,48,0
1,Late delivery,1,Corporate,Apparel,0.419999987,1,COMPLETE,Same Day,2016,8,21,22,38,1,2016,8,22,10,38,0
1,Late delivery,1,Consumer,Fan Shop,0.300000012,1,PROCESSING,Same Day,2017,3,30,19,20,0,2017,3,31,7,20,0
0,Shipping on time,0,Consumer,Fan Shop,0.310000002,4,CLOSED,Standard Class,2015,11,18,21,47,0,2015,11,22,21,47,1
1,Late delivery,1,Consumer,Fan Shop,0.479999989,1,CLOSED,Second Class,2016,10,9,11,52,1,2016,10,12,11,52,0
0,Shipping on time,0,Home Office,Apparel,0.469999999,1,COMPLETE,Standard Class,2016,12,13,9,30,0,2016,12,17,9,30,1
1,Late delivery,1,Consumer,Apparel,0.330000013,5,COMPLETE,Second Class,2016,4,20,23,20,0,2016,4,23,23,20,1
1,Late delivery,1,Corporate,Fan Shop,0.079999998,1,PROCESSING,Standard Class,2016,2,20,18,51,1,2016,2,25,18,51,0
0,Shipping on time,0,Corporate,Fan Shop,0.300000012,1,PENDING,Standard Class,2016,9,19,22,46,0,2016,9,23,22,46,0
1,Late delivery,1,Consumer,Golf,0.180000007,1,COMPLETE,Second Class,2016,5,27,2,26,0,2016,5,30,2,26,0
1,Late delivery,1,Home Office,Fan Shop,0.189999998,1,COMPLETE,First Class,2016,8,29,18,46,0,2016,8,31,18,46,0
-1,Advance shipping,0,Corporate,Apparel,0.349999994,1,COMPLETE,Standard Class,2016,1,18,14,52,0,2016,1,21,14,52,0
2,Late delivery,1,Home Office,Fan Shop,0.25999999,1,PENDING_PAYMENT,Standard Class,2017,2,2,19,25,0,2017,2,8,19,25,0
4,Late delivery,1,Consumer,Fan Shop,0.289999992,1,PROCESSING,Second Class,2015,11,4,11,39,0,2015,11,10,11,39,0
1,Late delivery,1,Corporate,Fan Shop,0.409999996,1,PENDING_PAYMENT,First Class,2017,6,23,10,38,0,2017,6,25,10,38,1
-1,Advance shipping,0,Home Office,Apparel,0.340000004,1,CLOSED,Standard Class,2016,6,7,20,27,0,2016,6,10,20,27,0
1,Late delivery,1,Consumer,Apparel,-2.049999952,1,PENDING_PAYMENT,Standard Class,2017,5,30,10,19,0,2017,6,4,10,19,1
1,Late delivery,1,Consumer,Footwear,-0.029999999,5,PENDING,First Class,2015,11,22,3,13,1,2015,11,24,3,13,0
1,Late delivery,1,Consumer,Apparel,0.159999996,1,COMPLETE,Standard Class,2016,3,30,6,1,0,2016,4,4,6,1,0
1,Late delivery,1,Home Office,Footwear,0.379999995,4,PENDING_PAYMENT,First Class,2016,10,2,17,19,1,2016,10,4,17,19,0
2,Late delivery,1,Consumer,Golf,-0.200000003,4,COMPLETE,Second Class,2017,3,10,9,34,0,2017,3,14,9,34,0
1,Late delivery,1,Corporate,Golf,-0.029999999,1,PENDING,First Class,2015,5,24,1,22,1,2015,5,26,1,22,0
-2,Advance shipping,0,Corporate,Golf,0.479999989,5,ON_HOLD,Standard Class,2015,11,5,17,47,0,2015,11,7,17,47,1
0,Shipping on time,0,Corporate,Fan Shop,0.090000004,1,COMPLETE,Same Day,2016,3,21,6,33,0,2016,3,21,18,33,0
0,Shipping on time,0,Corporate,Footwear,0.129999995,1,PENDING_PAYMENT,Standard Class,2015,2,19,8,51,0,2015,2,23,8,51,0
-1,Advance shipping,0,Home Office,Fan Shop,0.239999995,4,CLOSED,Standard Class,2016,3,25,16,42,0,2016,3,28,16,42,0
-1,Advance shipping,0,Home Office,Footwear,0.109999999,4,COMPLETE,Standard Class,2015,5,2,18,13,1,2015,5,5,18,13,0
2,Late delivery,1,Consumer,Outdoors,0.360000014,1,COMPLETE,Standard Class,2017,5,23,1,45,0,2017,5,29,1,45,0
2,Late delivery,1,Consumer,Apparel,-0.400000006,1,PROCESSING,Standard Class,2017,1,24,18,12,0,2017,1,30,18,12,0
1,Late delivery,1,Consumer,Golf,0.479999989,5,COMPLETE,First Class,2017,6,13,17,40,0,2017,6,15,17,40,0
3,Late delivery,1,Corporate,Fan Shop,0.02,1,PROCESSING,Second Class,2015,8,12,12,49,0,2015,8,17,12,49,0
1,Late delivery,1,Corporate,Apparel,-0.639999986,1,COMPLETE,First Class,2016,6,28,6,35,0,2016,6,30,6,35,0
0,Shipping on time,0,Corporate,Footwear,0.059999999,4,PENDING_PAYMENT,Standard Class,2015,2,11,13,25,0,2015,2,15,13,25,1
1,Late delivery,1,Consumer,Fan Shop,0.49000001,1,COMPLETE,First Class,2017,7,7,14,28,0,2017,7,9,14,28,1
1,Late delivery,1,Home Office,Fan Shop,-1.75,1,COMPLETE,Second Class,2016,8,15,16,20,0,2016,8,18,16,20,0
3,Late delivery,1,Corporate,Fan Shop,0.109999999,1,PROCESSING,Second Class,2015,4,20,2,7,0,2015,4,25,2,7,1
1,Late delivery,1,Consumer,Fan Shop,0.109999999,1,PENDING,Second Class,2015,4,14,0,1,0,2015,4,17,0,1,0
0,Shipping on time,0,Consumer,Golf,0.479999989,2,COMPLETE,Standard Class,2017,4,21,7,3,0,2017,4,25,7,3,0
1,Late delivery,1,Consumer,Footwear,-2.549999952,1,PROCESSING,Standard Class,2016,12,3,4,37,1,2016,12,8,4,37,0
4,Late delivery,1,Home Office,Fan Shop,0.379999995,1,CLOSED,Second Class,2015,4,5,17,23,1,2015,4,11,17,23,1
1,Late delivery,1,Home Office,Apparel,-0.800000012,1,CLOSED,First Class,2016,8,2,6,22,0,2016,8,4,6,22,0
0,Shipping on time,0,Corporate,Discs Shop,0.449999988,1,PENDING_PAYMENT,Same Day,2017,11,28,11,28,0,2017,11,28,23,28,0
-1,Advance shipping,0,Consumer,Golf,0.469999999,4,CLOSED,Standard Class,2016,7,7,22,10,0,2016,7,10,22,10,1
1,Late delivery,1,Corporate,Fan Shop,0.479999989,1,PROCESSING,First Class,2015,11,16,23,33,0,2015,11,18,23,33,0
0,Shipping on time,0,Corporate,Apparel,-1.75,1,PENDING_PAYMENT,Second Class,2017,2,25,7,18,1,2017,2,27,7,18,0
0,Shipping on time,0,Consumer,Fan Shop,0.01,1,COMPLETE,Second Class,2015,10,23,21,29,0,2015,10,25,21,29,1
-2,Advance shipping,0,Corporate,Footwear,0.360000014,3,CLOSED,Standard Class,2015,2,8,11,9,1,2015,2,10,11,9,0
2,Late delivery,1,Consumer,Footwear,-0.159999996,1,COMPLETE,Standard Class,2017,2,15,3,28,0,2017,2,21,3,28,0
2,Late delivery,1,Corporate,Golf,0.469999999,2,PROCESSING,Second Class,2016,4,14,11,46,0,2016,4,18,11,46,0
2,Late delivery,1,Home Office,Footwear,0.49000001,2,PROCESSING,Standard Class,2017,4,20,10,44,0,2017,4,26,10,44,0
3,Late delivery,1,Consumer,Fan Shop,0.460000008,1,PENDING_PAYMENT,Second Class,2016,4,29,19,59,0,2016,5,4,19,59,0
1,Late delivery,1,Corporate,Apparel,0.5,5,PROCESSING,First Class,2017,3,18,22,10,1,2017,3,20,22,10,0
0,Shipping on time,0,Consumer,Fan Shop,-0.039999999,1,CLOSED,Standard Class,2016,7,29,6,1,0,2016,8,2,6,1,0
1,Shipping canceled,0,Corporate,Apparel,0.409999996,1,CANCELED,Second Class,2017,3,3,14,18,0,2017,3,6,14,18,0
1,Late delivery,1,Consumer,Apparel,0.209999993,1,COMPLETE,Standard Class,2017,5,10,20,52,0,2017,5,15,20,52,0
-2,Advance shipping,0,Consumer,Fan Shop,0.01,1,PROCESSING,Standard Class,2017,5,2,10,22,0,2017,5,4,10,22,0
1,Late delivery,1,Consumer,Fitness,0.280000001,4,COMPLETE,First Class,2015,3,22,7,14,1,2015,3,24,7,14,0
-1,Advance shipping,0,Consumer,Fan Shop,0.100000001,2,COMPLETE,Standard Class,2016,5,25,3,8,0,2016,5,28,3,8,1
0,Shipping on time,0,Consumer,Fan Shop,-0.400000006,1,CLOSED,Standard Class,2017,1,20,18,55,0,2017,1,24,18,55,0
2,Late delivery,1,Home Office,Outdoors,-0.800000012,5,PROCESSING,Standard Class,2016,2,21,17,59,1,2016,2,27,17,59,1
2,Late delivery,1,Consumer,Golf,0.330000013,1,PROCESSING,Standard Class,2016,3,24,13,44,0,2016,3,30,13,44,0
-2,Shipping canceled,0,Corporate,Fan Shop,-0.219999999,1,SUSPECTED_FRAUD,Standard Class,2017,3,4,3,58,1,2017,3,6,3,58,0
0,Shipping on time,0,Home Office,Golf,-0.029999999,2,CLOSED,Same Day,2015,2,5,5,43,0,2015,2,5,17,43,0
1,Late delivery,1,Home Office,Golf,0.270000011,4,COMPLETE,First Class,2015,11,24,17,14,0,2015,11,26,17,14,0
-2,Advance shipping,0,Corporate,Golf,0.25999999,3,PENDING_PAYMENT,Standard Class,2015,7,19,6,12,1,2015,7,21,6,12,0
1,Late delivery,1,Home Office,Apparel,-0.769999981,3,COMPLETE,First Class,2017,4,27,18,15,0,2017,4,29,18,15,1
2,Late delivery,1,Consumer,Golf,0.059999999,3,PENDING,Standard Class,2017,6,25,3,17,1,2017,7,1,3,17,1
-1,Advance shipping,0,Corporate,Apparel,0.25999999,1,PENDING_PAYMENT,Standard Class,2017,7,21,22,52,0,2017,7,24,22,52,0
0,Shipping on time,0,Corporate,Golf,0.349999994,5,COMPLETE,Standard Class,2015,12,9,13,32,0,2015,12,13,13,32,1
2,Late delivery,1,Home Office,Technology,0.5,1,PENDING_PAYMENT,Second Class,2017,10,10,6,6,0,2017,10,14,6,6,1
1,Late delivery,1,Consumer,Fan Shop,0.25,1,PROCESSING,Second Class,2016,1,4,12,47,0,2016,1,7,12,47,0
-2,Advance shipping,0,Home Office,Apparel,0.349999994,1,COMPLETE,Standard Class,2016,3,27,12,9,1,2016,3,29,12,9,0
2,Late delivery,1,Corporate,Golf,0.280000001,4,PROCESSING,Standard Class,2017,10,1,7,21,1,2017,10,7,7,21,1
-1,Advance shipping,0,Consumer,Golf,0.119999997,3,COMPLETE,Standard Class,2015,4,15,19,49,0,2015,4,18,19,49,1
1,Late delivery,1,Consumer,Apparel,0.409999996,1,PENDING_PAYMENT,Standard Class,2017,4,17,8,48,0,2017,4,22,8,48,1
2,Shipping canceled,0,Home Office,Apparel,-0.800000012,1,CANCELED,Standard Class,2017,1,23,19,26,0,2017,1,29,19,26,1
2,Late delivery,1,Home Office,Golf,0.389999986,4,PENDING_PAYMENT,Standard Class,2015,12,27,20,10,1,2016,1,2,20,10,1
1,Late delivery,1,Corporate,Fan Shop,0.49000001,1,PENDING_PAYMENT,First Class,2017,9,18,21,54,0,2017,9,20,21,54,0
0,Shipping on time,0,Consumer,Apparel,0.119999997,1,PENDING,Same Day,2017,8,23,4,46,0,2017,8,23,16,46,0
1,Late delivery,1,Corporate,Apparel,0.330000013,1,PENDING_PAYMENT,Standard Class,2017,10,24,5,2,0,2017,10,29,5,2,1
1,Late delivery,1,Corporate,Discs Shop,0.479999989,1,COMPLETE,Standard Class,2017,12,19,23,53,0,2017,12,24,23,53,1
1,Late delivery,1,Home Office,Apparel,0.25999999,1,PROCESSING,First Class,2016,9,13,10,31,0,2016,9,15,10,31,0
0,Shipping on time,0,Consumer,Outdoors,0.469999999,1,PENDING,Second Class,2017,8,5,12,51,1,2017,8,7,12,51,0
2,Late delivery,1,Corporate,Footwear,0.25999999,2,PENDING_PAYMENT,Second Class,2015,5,7,1,55,0,2015,5,11,1,55,0
0,Shipping on time,0,Consumer,Fan Shop,0.449999988,4,PENDING_PAYMENT,Standard Class,2015,8,16,21,34,1,2015,8,20,21,34,0
2,Late delivery,1,Corporate,Golf,0.0,2,COMPLETE,Standard Class,2016,8,9,21,15,0,2016,8,15,21,15,0
1,Late delivery,1,Consumer,Outdoors,0.330000013,4,COMPLETE,First Class,2015,8,17,21,3,0,2015,8,19,21,3,0
1,Late delivery,1,Consumer,Discs Shop,0.479999989,1,CLOSED,Standard Class,2018,1,21,13,9,1,2018,1,26,13,9,0
2,Late delivery,1,Consumer,Fan Shop,0.5,1,PENDING_PAYMENT,Standard Class,2016,10,29,2,23,1,2016,11,4,2,23,0
1,Late delivery,1,Corporate,Fan Shop,0.079999998,1,ON_HOLD,Standard Class,2016,9,24,20,29,1,2016,9,29,20,29,0
0,Shipping canceled,0,Corporate,Fan Shop,-0.100000001,2,SUSPECTED_FRAUD,Standard Class,2016,2,8,3,27,0,2016,2,12,3,27,0
0,Shipping on time,0,Corporate,Fan Shop,-0.159999996,1,PENDING_PAYMENT,Standard Class,2017,1,19,6,8,0,2017,1,23,6,8,0
1,Late delivery,1,Consumer,Fitness,0.360000014,5,PENDING,Second Class,2016,11,10,21,38,0,2016,11,13,21,38,1
1,Late delivery,1,Consumer,Golf,0.289999992,1,PENDING_PAYMENT,Standard Class,2016,11,9,14,49,0,2016,11,14,14,49,0
0,Shipping on time,0,Corporate,Footwear,0.469999999,5,COMPLETE,Standard Class,2016,12,31,8,26,1,2017,1,4,8,26,0
0,Shipping on time,0,Corporate,Fitness,0.280000001,1,COMPLETE,Second Class,2017,3,27,14,16,0,2017,3,29,14,16,0
1,Late delivery,1,Consumer,Fan Shop,0.129999995,1,PENDING_PAYMENT,First Class,2015,7,9,4,48,0,2015,7,11,4,48,1
0,Shipping on time,0,Corporate,Fitness,0.469999999,1,ON_HOLD,Standard Class,2017,7,30,1,39,1,2017,8,3,1,39,0
2,Late delivery,1,Consumer,Apparel,0.479999989,1,COMPLETE,Second Class,2017,8,31,2,40,0,2017,9,4,2,40,0
-2,Advance shipping,0,Corporate,Fan Shop,0.100000001,1,CLOSED,Standard Class,2016,4,16,8,37,1,2016,4,18,8,37,0
1,Late delivery,1,Consumer,Fan Shop,0.129999995,1,PENDING_PAYMENT,First Class,2016,8,7,11,47,1,2016,8,9,11,47,0
4,Late delivery,1,Consumer,Golf,-0.25,4,PENDING,Second Class,2017,6,12,15,44,0,2017,6,18,15,44,1
1,Late delivery,1,Consumer,Golf,-0.230000004,2,CLOSED,Second Class,2016,5,26,17,40,0,2016,5,29,17,40,1
1,Late delivery,1,Consumer,Fan Shop,0.360000014,1,COMPLETE,First Class,2015,6,10,7,29,0,2015,6,12,7,29,0
2,Late delivery,1,Consumer,Fan Shop,0.310000002,2,COMPLETE,Standard Class,2016,9,2,12,48,0,2016,9,8,12,48,0
0,Shipping on time,0,Consumer,Golf,0.280000001,3,PENDING,Standard Class,2016,12,24,15,16,1,2016,12,28,15,16,0
2,Late delivery,1,Home Office,Fan Shop,0.200000003,1,COMPLETE,Standard Class,2015,4,15,10,21,0,2015,4,21,10,21,0
1,Late delivery,1,Corporate,Fan Shop,0.340000004,1,CLOSED,Second Class,2015,9,27,8,12,1,2015,9,30,8,12,0
1,Late delivery,1,Corporate,Apparel,-1.299999952,1,CLOSED,Second Class,2016,5,14,13,8,1,2016,5,17,13,8,0
1,Late delivery,1,Home Office,Fan Shop,0.469999999,1,COMPLETE,First Class,2016,2,2,6,58,0,2016,2,4,6,58,0
1,Late delivery,1,Consumer,Golf,0.01,5,PENDING_PAYMENT,Standard Class,2016,3,22,10,35,0,2016,3,27,10,35,1
1,Late delivery,1,Consumer,Outdoors,0.389999986,2,PENDING_PAYMENT,Standard Class,2016,6,15,9,35,0,2016,6,20,9,35,0
1,Shipping canceled,0,Corporate,Health and Beauty ,0.360000014,1,CANCELED,First Class,2017,11,20,4,28,0,2017,11,22,4,28,0
2,Late delivery,1,Corporate,Golf,0.0,3,COMPLETE,Standard Class,2015,10,21,16,34,0,2015,10,27,16,34,0
1,Late delivery,1,Consumer,Outdoors,0.49000001,3,CLOSED,First Class,2016,3,23,5,9,0,2016,3,25,5,9,0
1,Late delivery,1,Home Office,Fan Shop,0.449999988,1,PENDING_PAYMENT,Second Class,2015,9,16,23,27,0,2015,9,19,23,27,1
1,Late delivery,1,Consumer,Fan Shop,0.379999995,1,CLOSED,First Class,2016,6,13,16,57,0,2016,6,15,16,57,0
2,Late delivery,1,Home Office,Fan Shop,-0.059999999,1,PROCESSING,Standard Class,2015,11,10,2,32,0,2015,11,16,2,32,0
2,Late delivery,1,Consumer,Fan Shop,0.330000013,1,PENDING_PAYMENT,Standard Class,2016,9,1,7,1,0,2016,9,7,7,1,0
2,Late delivery,1,Consumer,Golf,0.449999988,3,COMPLETE,Second Class,2016,3,28,6,22,0,2016,4,1,6,22,0
1,Late delivery,1,Consumer,Fitness,0.349999994,1,PENDING_PAYMENT,First Class,2017,9,25,14,22,0,2017,9,27,14,22,0
-1,Advance shipping,0,Consumer,Fan Shop,0.109999999,3,COMPLETE,Standard Class,2015,7,31,12,50,0,2015,8,3,12,50,0
-2,Advance shipping,0,Corporate,Fan Shop,0.389999986,1,PENDING_PAYMENT,Standard Class,2015,4,21,17,21,0,2015,4,23,17,21,0
1,Late delivery,1,Consumer,Fan Shop,0.25999999,1,ON_HOLD,Standard Class,2015,2,26,16,23,0,2015,3,3,16,23,0
0,Shipping on time,0,Corporate,Apparel,-0.300000012,4,PROCESSING,Standard Class,2017,3,11,11,50,1,2017,3,15,11,50,0
0,Shipping on time,0,Consumer,Golf,0.129999995,2,COMPLETE,Second Class,2017,9,27,19,37,0,2017,9,29,19,37,0
0,Shipping on time,0,Corporate,Apparel,0.029999999,1,COMPLETE,Standard Class,2016,12,16,0,34,0,2016,12,20,0,34,0
1,Late delivery,1,Corporate,Fan Shop,0.460000008,1,PENDING_PAYMENT,First Class,2016,10,4,16,58,0,2016,10,6,16,58,0
2,Late delivery,1,Consumer,Apparel,0.090000004,1,ON_HOLD,Second Class,2016,6,23,20,26,0,2016,6,27,20,26,0
-1,Advance shipping,0,Consumer,Fan Shop,0.02,1,COMPLETE,Standard Class,2017,3,7,0,38,0,2017,3,10,0,38,0
2,Late delivery,1,Consumer,Footwear,0.300000012,5,PENDING,Standard Class,2016,1,13,16,48,0,2016,1,19,16,48,0
2,Late delivery,1,Consumer,Apparel,0.379999995,1,PENDING,Standard Class,2015,3,16,5,9,0,2015,3,22,5,9,1
2,Late delivery,1,Corporate,Apparel,0.439999998,2,COMPLETE,Standard Class,2016,6,10,12,34,0,2016,6,16,12,34,0
0,Shipping on time,0,Consumer,Apparel,0.280000001,1,COMPLETE,Same Day,2017,5,11,3,52,0,2017,5,11,15,52,0
0,Shipping on time,0,Consumer,Footwear,0.439999998,2,COMPLETE,Standard Class,2016,12,24,10,1,1,2016,12,28,10,1,0
4,Late delivery,1,Consumer,Golf,0.100000001,2,ON_HOLD,Second Class,2016,1,17,3,8,1,2016,1,23,3,8,1
1,Late delivery,1,Home Office,Golf,0.079999998,3,COMPLETE,First Class,2015,9,12,13,39,1,2015,9,14,13,39,0
1,Late delivery,1,Consumer,Apparel,0.289999992,1,PENDING_PAYMENT,First Class,2017,3,17,18,8,0,2017,3,19,18,8,1
-2,Advance shipping,0,Consumer,Golf,0.419999987,1,COMPLETE,Standard Class,2016,1,12,18,23,0,2016,1,14,18,23,0
-1,Shipping canceled,0,Home Office,Golf,0.25999999,2,CANCELED,Standard Class,2016,12,4,0,56,1,2016,12,7,0,56,0
0,Shipping on time,0,Consumer,Fan Shop,0.079999998,5,COMPLETE,Standard Class,2016,5,27,1,2,0,2016,5,31,1,2,0
0,Shipping on time,0,Corporate,Apparel,0.419999987,3,COMPLETE,Same Day,2017,1,15,0,53,1,2017,1,15,12,53,1
-2,Advance shipping,0,Consumer,Apparel,-2.650000095,1,PENDING_PAYMENT,Standard Class,2016,9,28,11,1,0,2016,9,30,11,1,0
0,Shipping on time,0,Corporate,Footwear,0.25999999,3,PENDING_PAYMENT,Standard Class,2015,9,12,5,57,1,2015,9,16,5,57,0
1,Late delivery,1,Consumer,Golf,0.340000004,2,CLOSED,First Class,2017,6,2,1,44,0,2017,6,4,1,44,1
1,Late delivery,1,Consumer,Fan Shop,0.059999999,1,CLOSED,First Class,2016,2,24,2,44,0,2016,2,26,2,44,0
1,Late delivery,1,Consumer,Apparel,0.449999988,5,PENDING_PAYMENT,Standard Class,2016,6,16,17,7,0,2016,6,21,17,7,0
-1,Advance shipping,0,Consumer,Outdoors,-0.129999995,1,COMPLETE,Standard Class,2017,7,20,18,50,0,2017,7,23,18,50,1
0,Shipping on time,0,Corporate,Discs Shop,0.360000014,1,COMPLETE,Standard Class,2018,1,23,19,6,0,2018,1,27,19,6,1
1,Late delivery,1,Consumer,Outdoors,0.5,1,COMPLETE,Second Class,2015,4,17,13,51,0,2015,4,20,13,51,0
3,Late delivery,1,Home Office,Apparel,0.379999995,3,COMPLETE,Second Class,2017,9,9,12,59,1,2017,9,14,12,59,0
0,Shipping on time,0,Consumer,Fan Shop,0.460000008,1,CLOSED,Second Class,2016,9,20,12,5,0,2016,9,22,12,5,0
1,Late delivery,1,Corporate,Fan Shop,-1.649999976,1,COMPLETE,Standard Class,2015,7,11,3,3,1,2015,7,16,3,3,0
1,Late delivery,1,Corporate,Outdoors,0.449999988,3,PENDING_PAYMENT,First Class,2015,10,17,6,4,1,2015,10,19,6,4,0
-2,Advance shipping,0,Consumer,Golf,0.289999992,3,PENDING_PAYMENT,Standard Class,2016,10,11,23,5,0,2016,10,13,23,5,0
2,Late delivery,1,Corporate,Apparel,0.270000011,4,PROCESSING,Standard Class,2015,5,25,19,4,0,2015,5,31,19,4,1
3,Late delivery,1,Home Office,Outdoors,0.449999988,1,COMPLETE,Second Class,2015,6,14,4,40,1,2015,6,19,4,40,0
-2,Advance shipping,0,Consumer,Apparel,0.109999999,1,PENDING_PAYMENT,Standard Class,2015,8,14,19,49,0,2015,8,16,19,49,1
0,Shipping on time,0,Home Office,Golf,0.090000004,3,PENDING_PAYMENT,Same Day,2016,10,15,3,6,1,2016,10,15,15,6,1
1,Late delivery,1,Consumer,Apparel,0.5,4,COMPLETE,Second Class,2015,4,5,2,19,1,2015,4,8,2,19,0
2,Late delivery,1,Consumer,Apparel,0.25999999,1,COMPLETE,Second Class,2015,7,22,6,43,0,2015,7,26,6,43,1
0,Shipping on time,0,Corporate,Apparel,0.140000001,4,COMPLETE,Second Class,2017,2,10,4,42,0,2017,2,12,4,42,1
0,Shipping on time,0,Consumer,Footwear,0.039999999,2,CLOSED,Same Day,2016,2,29,4,18,0,2016,2,29,16,18,0
0,Shipping on time,0,Corporate,Fitness,0.430000007,4,COMPLETE,Second Class,2015,9,8,11,54,0,2015,9,10,11,54,0
2,Late delivery,1,Consumer,Fan Shop,0.479999989,1,PENDING_PAYMENT,Standard Class,2016,7,22,20,34,0,2016,7,28,20,34,0
